POISSON BOLTZMANN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,G gas,G solv,TOTAL
188,-2063.0056,-19261.2383,-3096.4604,65.4121,0.0,-21324.2439,-3031.0483,-24355.2922
189,-2087.6032,-19141.1944,-3111.4823,65.5623,0.0,-21228.7976,-3045.92,-24274.7176
190,-2037.7314,-19256.1811,-3067.6341,65.7972,0.0,-21293.9125,-3001.8369,-24295.7494
191,-2048.4973,-19185.2084,-3114.0795,65.5776,0.0,-21233.7057,-3048.5019,-24282.2076
192,-2018.6486,-19195.9551,-3118.0298,66.4911,0.0,-21214.6037,-3051.5387,-24266.1424
193,-2067.7987,-19157.593,-3091.4491,65.6454,0.0,-21225.3917,-3025.8037,-24251.1954
194,-2046.4462,-19128.4399,-3128.1139,66.0595,0.0,-21174.8861,-3062.0544,-24236.9405
195,-2081.9798,-19081.7679,-3144.0968,66.2237,0.0,-21163.7477,-3077.8731,-24241.6208
196,-2028.6576,-19189.2262,-3115.7293,66.6624,0.0,-21217.8838,-3049.0669,-24266.9507
197,-2067.5063,-19209.6618,-3107.8217,65.8307,0.0,-21277.1681,-3041.991,-24319.1591
198,-2065.5263,-19065.8034,-3159.9016,66.2826,0.0,-21131.3297,-3093.619,-24224.9487
199,-2042.9395,-19113.8108,-3116.1777,66.8985,0.0,-21156.7503,-3049.2792,-24206.0295
200,-2077.1958,-19147.4667,-3098.394,66.3408,0.0,-21224.6625,-3032.0532,-24256.7157
201,-2058.5521,-19144.7524,-3110.6757,66.5637,0.0,-21203.3045,-3044.112,-24247.4165
202,-2036.703,-19249.3979,-3063.9139,66.0167,0.0,-21286.1009,-2997.8972,-24283.9981
203,-2037.252,-19246.7285,-3103.3829,65.6414,0.0,-21283.9805,-3037.7415,-24321.722
204,-2055.0408,-19133.8776,-3122.838,65.86,0.0,-21188.9184,-3056.978,-24245.8964
205,-2048.9324,-19213.2234,-3044.8561,65.7193,0.0,-21262.1558,-2979.1368,-24241.2926
206,-2034.3761,-19276.6839,-3013.3176,66.2779,0.0,-21311.06,-2947.0397,-24258.0997
207,-2042.272,-19151.0029,-3086.6012,65.9394,0.0,-21193.2749,-3020.6618,-24213.9367
208,-2030.7127,-19219.1978,-3073.8159,66.2439,0.0,-21249.9105,-3007.572,-24257.4825
209,-2064.0571,-19148.4607,-3109.7108,65.7539,0.0,-21212.5178,-3043.9569,-24256.4747
210,-2045.8893,-19228.1565,-3079.4333,65.9741,0.0,-21274.0458,-3013.4592,-24287.505
211,-2053.5205,-19221.4256,-3096.5666,65.9247,0.0,-21274.9461,-3030.6419,-24305.588
212,-2062.4745,-19278.1311,-3116.6106,65.8907,0.0,-21340.6056,-3050.7199,-24391.3255
213,-2073.1034,-19166.083,-3094.6302,65.6837,0.0,-21239.1864,-3028.9465,-24268.1329
214,-2056.243,-19127.2802,-3109.0833,65.8097,0.0,-21183.5232,-3043.2736,-24226.7968
215,-2058.8899,-19141.4087,-3141.7809,66.2231,0.0,-21200.2986,-3075.5578,-24275.8564
216,-2042.8743,-19198.2962,-3068.6872,65.9171,0.0,-21241.1705,-3002.7701,-24243.9406
217,-2064.518,-19230.3754,-3086.4186,66.3466,0.0,-21294.8934,-3020.072,-24314.9654
218,-2035.6529,-19204.214,-3118.5334,66.4391,0.0,-21239.8669,-3052.0943,-24291.9612
219,-2017.4541,-19325.376,-3060.8493,65.9829,0.0,-21342.8301,-2994.8664,-24337.6965
220,-2056.8325,-19193.3211,-3092.4186,65.9627,0.0,-21250.1536,-3026.4559,-24276.6095
